id,Aid,Bid,Cid,Did,fillColor,strokeColor
1,141,266,145,265,-1,1
2,268,269,274,-1,-1,1
3,142,273,149,271,-1,1
4,272,275,147,-1,-1,1
5,144,277,207,278,-1,1
6,154,205,163,206,-1,1
7,211,214,216,-1,-1,1
8,155,210,209,-1,-1,1
9,152,204,161,203,-1,1
10,143,280,157,281,-1,1
11,148,199,156,201,-1,1
12,158,208,165,212,-1,1
13,218,221,219,-1,-1,1
14,183,233,232,-1,-1,1
15,187,250,249,245,-1,1
16,234,247,240,-1,-1,1
17,185,254,191,252,-1,1
18,180,241,239,235,-1,1
19,186,253,251,-1,-1,1
20,189,258,194,257,-1,1
21,238,242,248,-1,-1,1
22,190,255,196,260,-1,1
23,262,267,270,-1,-1,1
24,193,264,198,263,-1,1
25,184,259,197,256,-1,1
26,182,236,243,237,-1,1
27,282,244,246,-1,-1,1
28,146,276,160,279,-1,1
29,151,200,164,202,-1,1
