id,x1,y1,x2,y2,x3,y3,fillColor
1,403,25,443,93,421,29,2
2,392,65,391,74,412,82,2
3,412,127,431,109,448,215,2
4,295,200,349,271,318,209,2
5,380,286,381,296,401,304,2
6,465,135,454,286,550,200,2
7,574,315,688,243,708,369,2
8,609,478,715,588,731,468,2
9,661,614,669,615,658,584,2
10,795,639,791,626,804,634,2
11,834,485,805,469,831,477,2
12,641,160,647,163,649,195,2
13,540,59,559,105,556,70,3
14,551,199,573,314,689,243,3
15,688,242,708,369,854,329,3
16,338,109,411,162,362,104,4
17,411,184,440,226,425,184,4
18,365,212,392,279,382,217,4
19,294,200,296,220,350,272,4
20,453,285,459,422,573,311,4
21,459,423,517,528,610,479,4
22,770,467,801,451,850,330,4
23,827,439,850,432,852,415,4
24,758,473,792,504,790,495,4
25,820,515,830,555,836,540,4
26,742,579,742,633,751,621,4
27,736,547,733,569,730,560,4
28,595,614,604,654,607,646,4
29,402,24,403,47,442,94,5
30,333,130,333,149,360,172,5
31,454,72,513,148,496,97,5
32,403,222,411,256,417,244,5
33,322,274,366,296,344,276,5
34,586,97,581,116,610,152,5
35,310,322,403,354,413,315,5
36,403,355,453,285,459,422,5
37,459,424,421,537,517,528,5
38,517,528,582,579,609,477,5
39,609,477,573,315,708,370,5
40,708,370,730,468,854,329,5
41,854,329,729,250,688,242,5
42,688,242,655,181,655,208,5
43,688,242,638,191,550,199,5
44,550,199,573,313,454,285,5
45,550,199,464,135,530,171,5
46,849,462,883,457,876,454,5
47,778,516,796,536,805,530,5
48,670,564,713,678,689,665,5
49,431,110,448,215,445,123,6
50,586,98,610,153,606,110,6
51,534,98,550,199,637,192,6
52,655,182,689,242,730,250,6
53,572,313,460,423,609,478,6
54,609,478,707,371,731,469,6
55,731,469,771,605,812,586,6
56,670,564,714,678,705,624,6
57,721,625,750,674,754,656,6
58,808,489,849,509,845,498,6
59,455,257,432,240,453,285,7
60,453,285,432,239,403,354,7
61,403,354,311,322,412,437,7
62,459,422,403,353,421,536,7
63,421,536,538,567,517,529,7
64,517,529,562,621,582,579,7
65,594,593,563,620,582,578,7
66,582,578,609,479,654,665,7
67,654,665,609,478,643,539,7
68,643,539,610,478,713,587,7
69,549,198,530,171,534,98,7
70,853,328,770,466,769,425,7
71,771,606,732,469,726,507,7
72,453,71,513,148,468,106,7
73,338,109,411,163,348,131,7
74,322,274,366,296,326,286,7
75,540,59,559,104,541,79,7
76,440,227,411,184,414,205,7
77,391,278,366,212,361,223,7
78,849,462,884,457,876,468,7
79,808,488,849,509,838,516,7
80,759,475,793,506,786,511,7
81,820,515,830,555,824,551,7
82,742,578,735,597,742,633,7
83,721,625,751,676,740,674,7
84,594,614,604,654,594,649,7
