id,xCenter,yCenter,radius,Color,
1,402,24,5,0,213
2,338,109,6,0,223.5
3,294,199,10,0,246.5
4,453,71,10,0,262
5,360,173,4,0,266.5
6,443,93,6,0,268
7,431,109,4,0,270
8,411,163,7,0,287
9,365,211,4,0,288
10,411,183,4,0,297
11,322,274,4,0,298
12,464,134,10,0,299
13,541,59,5,0,300
14,403,221,4,0,312
15,534,97,8,0,315.5
16,311,322,9,0,316.5
17,513,147,7,0,330
18,366,296,5,0,331
19,448,216,10,0,332
20,559,105,6,0,332
21,440,226,6,0,333
22,432,239,8,0,335.5
23,392,279,7,0,335.5
24,586,98,7,0,342
25,453,285,10,0,369
26,550,199,10,0,374.5
27,403,354,8,0,378.5
28,610,152,7,0,381
29,655,181,6,0,418
30,459,422,8,0,440.5
31,573,313,12,0,443
32,689,242,11,0,465.5
33,421,536,8,0,478.5
34,517,526,10,0,521.5
35,709,370,11,0,539.5
36,610,478,10,0,544
37,582,579,7,0,580.5
38,853,328,12,0,590.5
39,563,621,8,0,592
40,595,614,5,0,604.5
41,759,474,4,0,616.5
42,670,564,7,0,617
43,771,467,7,0,619
44,778,516,5,0,647
45,809,489,7,0,649
46,714,587,10,0,650.5
47,849,462,6,0,655.5
48,655,664,7,0,659.5
49,742,578,6,0,660
50,820,515,6,0,667.5
51,721,625,8,0,673
52,771,605,10,0,688
53,742,634,4,0,688
54,830,556,5,0,693
55,714,678,6,0,696
56,750,675,4,0,712.5
57,420,27,0,0,223.5
58,403,47,0,0,225
59,391,63,0,0,227
60,390,73,0,0,231.5
61,332,131,0,0,231.5
62,361,104,0,0,232.5
63,349,131,0,0,240
64,332,149,0,0,240.5
65,414,83,0,0,248.5
66,296,221,0,0,258.5
67,318,209,0,0,263.5
68,412,128,0,0,270
69,443,126,0,0,284.5
70,467,105,0,0,286
71,360,223,0,0,291.5
72,497,96,0,0,296.5
73,383,217,0,0,300
74,425,185,0,0,305
75,325,287,0,0,306
76,540,76,0,0,308
77,343,275,0,0,309
78,415,204,0,0,309.5
79,350,272,0,0,311
80,556,72,0,0,314
81,417,244,0,0,330.5
82,379,286,0,0,332.5
83,411,256,0,0,333.5
84,381,298,0,0,339.5
85,581,114,0,0,347.5
86,530,170,0,0,350
87,401,306,0,0,353.5
88,456,256,0,0,356
